,age,sex,educ,income91,richwork,satjob,life,impjob,hrs1,degree,anomia5,satjob2,marital,agewed,zodiac,postlife,happy,hapmar,tvhours
113,36,Male,17,50000,Continue working,Mod satisfied,Exciting,Very important,40,Bachelor,Disagree,Not very satisfied,MARRIED,25,LIBRA,NO,VERY HAPPY,VERY HAPPY,2
114,50,Female,16,60000,Continue working,Very satisfied,Exciting,One of most important,30,Bachelor,Agree,Very satisfied,MARRIED,21,ARIES,YES,PRETTY HAPPY,PRETTY HAPPY,2
115,37,Male,12,35000,Continue working,Mod satisfied,Exciting,Very important,50,High school,Disagree,Not very satisfied,MARRIED,21,AQUARIUS,YES,PRETTY HAPPY,VERY HAPPY,3
116,46,Male,14,50000,Stop working,Very satisfied,Exciting,Somewhat important,40,High school,Disagree,Very satisfied,MARRIED,19,SAGITTARIUS,YES,VERY HAPPY,VERY HAPPY,6
117,33,Male,16,25000,Continue working,A little dissatisfied,Routine,Very important,40,Bachelor,Agree,Not very satisfied,MARRIED,27,ARIES,YES,NOT TOO HAPPY,NOT TOO HAPPY,2
118,49,Female,15,75000,Continue working,Very satisfied,Exciting,Very important,45,High school,Disagree,Very satisfied,MARRIED,19,LEO,YES,VERY HAPPY,VERY HAPPY,1
119,46,Male,14,75000,Stop working,A little dissatisfied,Routine,Very important,58,Junior college,Disagree,Not very satisfied,MARRIED,22,AQUARIUS,NO,PRETTY HAPPY,PRETTY HAPPY,2
120,23,Male,14,22500,Continue working,Very satisfied,Routine,Very important,50,High school,Agree,Very satisfied,MARRIED,21,ARIES,YES,PRETTY HAPPY,NOT TOO HAPPY,5
121,53,Female,18,75000,Stop working,Very satisfied,Exciting,Very important,40,Graduate,Agree,Very satisfied,MARRIED,18,LEO,NO,VERY HAPPY,VERY HAPPY,2
122,33,Male,10,35000,Stop working,Very satisfied,Exciting,One of most important,55,Less than HS,Disagree,Very satisfied,MARRIED,23,CAPRICORN,YES,PRETTY HAPPY,PRETTY HAPPY,3
123,21,Female,15,30000,Continue working,Very satisfied,Exciting,Somewhat important,25,High school,Agree,Very satisfied,MARRIED,20,CANCER,YES,VERY HAPPY,VERY HAPPY,3
124,40,Male,12,30000,Continue working,Very satisfied,Routine,Very important,50,High school,Agree,Very satisfied,MARRIED,18,SAGITTARIUS,YES,PRETTY HAPPY,PRETTY HAPPY,1
125,59,Male,12,30000,Stop working,A little dissatisfied,Dull,Very important,40,High school,Agree,Not very satisfied,MARRIED,28,TAURUS,YES,NOT TOO HAPPY,PRETTY HAPPY,0
126,50,Female,18,75000,Continue working,Very satisfied,Exciting,One of most important,35,Graduate,Disagree,Very satisfied,MARRIED,20,ARIES,YES,VERY HAPPY,VERY HAPPY,2
127,43,Male,16,35000,Stop working,Mod satisfied,Exciting,Very important,40,Bachelor,Disagree,Not very satisfied,MARRIED,21,CANCER,YES,PRETTY HAPPY,VERY HAPPY,1
128,39,Female,13,50000,Continue working,Mod satisfied,Routine,Very important,65,High school,Agree,Not very satisfied,MARRIED,22,ARIES,YES,PRETTY HAPPY,PRETTY HAPPY,2
129,42,Male,16,50000,Stop working,Very satisfied,Exciting,Very important,44,Bachelor,Agree,Very satisfied,MARRIED,29,ARIES,NO,VERY HAPPY,VERY HAPPY,1
130,60,Male,13,60000,Continue working,Mod satisfied,Routine,Very important,60,High school,Agree,Not very satisfied,MARRIED,18,SAGITTARIUS,YES,PRETTY HAPPY,VERY HAPPY,2
131,28,Female,15,15000,Stop working,Mod satisfied,Exciting,Very important,34,High school,Agree,Not very satisfied,MARRIED,17,LEO,YES,VERY HAPPY,VERY HAPPY,3
132,32,Female,18,50000,Continue working,Very satisfied,Routine,Not too important,40,Graduate,Disagree,Very satisfied,MARRIED,25,ARIES,YES,PRETTY HAPPY,VERY HAPPY,1
133,43,Female,12,35000,Stop working,Mod satisfied,Routine,Very important,16,High school,Agree,Not very satisfied,MARRIED,16,TAURUS,YES,PRETTY HAPPY,VERY HAPPY,2
134,55,Male,16,60000,Continue working,Mod satisfied,Exciting,One of most important,40,Bachelor,Disagree,Not very satisfied,MARRIED,20,GEMINI,YES,VERY HAPPY,VERY HAPPY,3
135,62,Male,8,12500,Continue working,Mod satisfied,Routine,Very important,45,Less than HS,Disagree,Not very satisfied,MARRIED,21,PISCES,YES,PRETTY HAPPY,PRETTY HAPPY,4
136,64,Male,8,8000,Continue working,Mod satisfied,Routine,Very important,15,Less than HS,Agree,Not very satisfied,MARRIED,22,LEO,YES,VERY HAPPY,PRETTY HAPPY,3
137,49,Male,12,60000,Continue working,Very satisfied,Routine,Somewhat important,42,High school,Disagree,Very satisfied,MARRIED,19,VIRGO,YES,VERY HAPPY,PRETTY HAPPY,3
138,61,Male,12,50000,Continue working,Very satisfied,Routine,Very important,45,High school,Agree,Very satisfied,MARRIED,21,ARIES,YES,VERY HAPPY,VERY HAPPY,4
139,42,Female,12,30000,Continue working,Mod satisfied,Routine,Very important,44,High school,Disagree,Not very satisfied,MARRIED,19,TAURUS,YES,PRETTY HAPPY,NOT TOO HAPPY,1
140,26,Female,17,12500,Continue working,Mod satisfied,Exciting,Very important,50,Bachelor,Agree,Not very satisfied,MARRIED,21,LIBRA,YES,VERY HAPPY,VERY HAPPY,6
141,26,Male,12,30000,Continue working,Very satisfied,Exciting,Very important,45,High school,Agree,Very satisfied,MARRIED,20,PISCES,NO,PRETTY HAPPY,VERY HAPPY,3
142,58,Male,18,60000,Stop working,Very satisfied,Exciting,Somewhat important,45,Graduate,Agree,Very satisfied,MARRIED,21,PISCES,YES,PRETTY HAPPY,PRETTY HAPPY,2
143,28,Male,17,75000,Stop working,Mod satisfied,Routine,Somewhat important,60,Graduate,Agree,Not very satisfied,MARRIED,22,SCORPIO,YES,VERY HAPPY,VERY HAPPY,1
